id	ot	alias	setcode	type	atk	def	level	race	attribute	category
27551	3	0	0	131076	0	0	0	0	0	262144
32864	3	0	0	17	1200	900	3	16	32	0
41777	3	0	71	4	0	0	0	0	0	263168
50755	3	0	0	4	0	0	0	0	0	262656
62121	3	0	0	2097185	920	1930	4	8	32	8192
102380	3	0	0	33	3000	2500	8	8	4	4456448
114932	3	0	0	33	1400	300	3	256	1	4194304
123709	3	0	57	33	2100	200	6	1	4	1032
126218	3	0	0	4	0	0	0	0	0	134225920
128454	3	0	159	33	1100	2400	5	512	8	16
131182	3	0	0	33	300	500	2	2	16	65538
135598	3	0	0	4129	100	100	1	16384	1	1049088
164710	3	0	0	4	0	0	0	0	0	0
168917	3	0	48	33	1800	800	4	4	16	262144
176392	3	0	29	33	1800	1800	4	256	1	17563648
176393	3	0	29	16401	1800	1800	4	256	1	0
191749	3	0	0	2	0	0	0	0	0	393216
213326	3	0	0	2	0	0	0	0	0	512
218704	3	0	0	33	1400	1200	4	16384	2	262144
242146	3	0	0	262146	0	0	0	0	0	8192
255998	3	0	0	33	1200	200	4	1	8	131072
259314	3	0	86	4	0	0	0	0	0	16785408
269012	3	0	0	524290	0	0	0	0	0	20972032
282886	3	0	7667828	33	1500	1500	4	131072	2	262144
286392	3	0	102	8225	2100	1200	5	1	4	262160
293542	3	0	39	33	1200	0	3	32768	32	262656
295517	3	22702055	0	524290	0	0	0	0	0	2105344
296499	3	0	0	131076	0	0	0	0	0	65536
303660	3	0	0	262146	0	0	0	0	0	0
313513	3	0	0	2	0	0	0	0	0	262656
336369	3	0	16	4129	0	1800	2	4096	8	262656
340002	3	0	159	33	2600	1800	6	16384	1	16
359563	3	0	10	8388641	950	1950	4	8	32	2048
368382	3	0	216	16777249	2000	800	101056517	32	2	2147745792
387282	3	0	84	33	200	800	2	2	32	512
402568	3	0	14	33	1200	100	4	4096	16	131072
403847	3	0	0	131074	0	0	0	0	0	1056768
423585	3	0	0	33	800	1600	4	2	32	264704
423705	3	0	0	33	1800	1600	4	1	1	1
425934	3	0	172	33	1000	1800	4	8	1	0
440556	3	0	0	8388641	2600	2100	4	262144	2	262144
464362	3	0	173	97	1900	1200	6	8	32	8195
473469	3	0	0	4	0	0	0	0	0	1
487395	3	0	0	4113	400	1200	1	64	2	0
494922	3	0	154	8225	2400	3800	10	32	1	0
525110	3	0	91	4129	700	400	2	1024	32	262144
549481	3	0	0	17	500	2000	4	16384	1	0
564541	3	0	0	33	400	200	2	8192	1	262144
575512	3	0	193	524290	0	0	0	0	0	537141248
581014	3	0	16	8388641	1800	800	4	256	8	263424
596051	3	0	0	4	0	0	0	0	0	8192
598988	3	0	35	33	4000	0	10	8192	32	327680
601193	3	0	177	8225	2500	1000	6	2	16	272
612115	3	0	25	33	1200	800	3	64	2	262660
645794	3	0	208	16777249	1300	500	84213764	2	8	512
652362	3	0	12	4129	500	200	1	524288	16	263168
674561	3	0	0	2	0	0	0	0	0	2098176
691925	3	0	0	2	0	0	0	0	0	392
698785	3	0	0	8388641	3000	2000	8	8192	16	2
706925	3	0	119	33	1400	0	3	262144	2	1310723
712559	3	0	4	524290	0	0	0	0	0	270336
732302	3	0	0	17	900	1300	4	16	32	0
734741	3	0	177	4129	100	2100	3	8	32	262144
756652	3	0	0	17	900	500	2	1	1	0
759393	3	0	191	2097185	500	1500	3	2	4	4096
770365	3	0	110	8388641	2000	1700	5	2	16	8194
799183	3	0	0	1048580	0	0	0	0	0	2214592515
811734	3	0	4271	4	0	0	0	0	0	8704
847915	3	0	0	131076	0	0	0	0	0	16777216
876330	3	0	41	33	2100	1500	6	8192	8	1311744
900787	3	0	41	8225	2000	1100	6	8192	8	8192
904185	3	0	0	65538	0	0	0	0	0	786432
904186	3	31533705	4123	16401	0	0	3	32	8	0
911883	3	0	0	2	0	0	0	0	0	262144
917796	3	0	84	2	0	0	0	0	0	8192
923596	3	0	114	33	1100	1900	4	32	1	2560
967928	3	0	0	4	0	0	0	0	0	0
980973	3	0	65	33	1200	900	3	8192	8	262656
981540	3	0	0	4	0	0	0	0	0	16777216
983995	3	0	0	1048580	0	0	0	0	0	2147483912
984114	3	0	22	33	400	1600	4	32	1	1040
987311	1	0	4271	8225	2500	2000	7	8	8	262144
1003028	3	0	0	33	1000	1000	4	1	32	262144
1003840	3	0	67	524290	0	0	0	0	0	262176
1005587	3	0	12910668	4	0	0	0	0	0	2147483650
1033312	3	0	0	2	0	0	0	0	0	520
1036974	3	0	0	2	0	0	0	0	0	4194304
1045143	3	0	4210	33	1000	500	3	32	1	262144
1050186	3	0	156	33	1800	1000	4	1	16	262152
1050684	3	0	36	2	0	0	0	0	0	512
1073952	3	0	0	2	0	0	0	0	0	256
1082946	3	0	0	4	0	0	0	0	0	0
1102515	3	0	65	33	1000	1000	3	8	32	256
1127737	3	0	0	524290	0	0	0	0	0	4194304
1149109	3	0	0	131074	0	0	0	0	0	0
1154611	2	0	212	4	1200	0	2	64	2	0
1184620	3	0	0	17	1500	1200	4	1	1	0
1200843	3	0	0	262146	0	0	0	0	0	16777216
1224927	3	0	0	4	0	0	0	0	0	1
1248895	3	0	0	4	0	0	0	0	0	2
1249315	3	0	0	8388641	600	1000	2	4	16	1056
1264319	3	0	4591687	2	0	0	0	0	0	268698624
1281505	3	0	48	4129	900	900	2	32	16	16778240
1287123	3	0	0	33	2200	800	5	512	8	2147483650
1315120	3	0	39	4129	800	0	2	1	1	262656
1347977	3	0	0	2097185	800	1200	3	2	1	48
1353770	3	0	0	131074	0	0	0	0	0	1310720
1357146	3	0	0	33	100	2000	2	64	2	537134080
1362589	3	0	85	33	2000	0	4	1	16	2048
1371589	3	0	0	33	1800	1500	4	16384	1	8388608
1372887	3	0	0	65538	0	0	0	0	0	256
1409474	3	0	4221	33	1900	1900	6	32768	4	33816576
1412158	3	0	0	97	1200	500	6	32	1	262176
1426714	3	0	72	8388641	1800	0	3	16	32	794624
1426715	3	0	0	16401	500	500	1	8	32	0
1434352	3	0	0	33	0	0	1	8	32	8192
1435851	3	0	0	262146	0	0	0	0	0	8192
1474910	3	0	0	33	500	400	1	2048	8	256
1475311	3	0	0	2	0	0	0	0	0	2097420
1498130	3	0	61	4129	400	1800	2	1	1	33554432
1516510	3	0	0	97	3000	2000	8	8192	32	33587200
1525329	3	0	0	33	1000	600	3	1	1	1056768
