id	name	desc	str1	str2	str3	str4	str5	str6	str7	str8	str9	str10	str11	str12	str13	str14	str15	str16
27551	Limit Reverse	Target 1 monster with 1000 or less ATK in your Graveyard; Special Summon it in Attack Position. If the target is changed to Defense Position, destroy it and this card. When this card leaves the field, destroy the target. When the target is destroyed, destroy this card.	 															
32864	The 13th Grave	A zombie that suddenly appeared from plot #13 - an empty grave.																
41777	Gem-Enhancement	"Tribute 1 ""Gem-Knight"" monster, then target 1 ""Gem-Knight"" monster in your Graveyard; Special Summon that target from the Graveyard."																
50755	Magician's Circle	Activate only when a Spellcaster-Type monster declares an attack. Each player Special Summons 1 Spellcaster-Type monster with 2000 or less ATK from their Deck in face-up Attack Position.																
62121	Castle of Dark Illusions	FLIP: All Zombie-Type monsters gain 200 ATK and DEF. During each of your next 4 Standby Phases, each of those Zombie-Type monsters gains 200 more ATK and DEF. These effects last as long as this card is face-up on the field.	Flip	Increase ATK														
102380	Lava Golem	This card cannot be Normal Summoned or Set. This card can only be Special Summoned to your opponent's side of the field by Tributing 2 monsters they control. You cannot Normal Summon or Set the turn you Special Summon this card. This monster's controller takes 1000 damage during each of their Standby Phases.	Special Summon	1000 damage														
114932	Seismic Crasher	Twice per turn, you can send 1 face-up Continuous Spell or Continuous Trap Card you control to the Graveyard to inflict 500 damage to your opponent.	Inflict damage															
123709	Laval Lancelord	You can Normal Summon this card without Tributing. If you do, during the End Phase: Send it to the Graveyard. When this card on the field is destroyed and sent to the Graveyard: You can target 1 of your banished FIRE monsters; add that target to your hand.	Normal Summon without Tribute	Send to Graveyard	Add to hand													
126218	Skull Dice	Roll 1 six-sided die. The face-up monsters your opponent currently controls lose ATK and DEF equal to the result x 100, until the End Phase.																
128454	Performapal Springoose	"You can banish this card from your Graveyard, then target 2 ""Magician"" or ""Performapal"" cards in your Pendulum Zones and/or Pendulum Monsters you control; return both of them to the hand. You can only use this effect of ""Performapal Springoose"" once per turn."	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
131182	Miracle Flipper	"If you control a ""Miracle Flipper"", you cannot Summon this card. Your opponent cannot select another face-up monster as an attack target. If this card is destroyed by battle, Special Summon it to your opponent's side of the field at the end of the Battle Phase. If this card is destroyed by the effect of a Spell or Trap Card, destroy 1 monster your opponent controls."	Special Summon	Destroy 1 monster your opponent controls														
135598	Key Mouse	When this card is destroyed by battle and sent to the Graveyard, you can add 1 Level 3 or lower Beast-Type monster from your deck to your hand.	Search															
164710	Mischief of the Gnomes	This turn, reduce the Levels of all monsters in each player's hand by 1 (even after they are Summoned/Set). You can banish this card from the Graveyard; this turn, reduce the Levels of all monsters in each player's hand by 1 (even after they are Summoned/Set).	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
168917	Vylon Hept	"Once per turn: You can target 1 face-up ""Vylon"" monster you control treated as an Equip Card; Special Summon it in face-up Defense Position. When that monster leaves the field, banish it."	Special Summon															
176392	Koa'ki Meiru Prototype	"If a face-up ""Koa'ki Meiru"" monster(s) on the field would be destroyed during the End Phase, you can destroy this card instead. When a face-up ""Koa'ki Meiru"" monster(s) on the field is destroyed during the End Phase, you can Special Summon 1 ""Koa'ki Meiru Token"" (Rock-Type/EARTH/Level 4/ATK 1800/DEF 1800)"	"Destroy ""Koa'ki Meiru Prototype"" instead?"	Special Summon														
176393	Koa'ki Meiru Token	"Summoned by the effect of ""Koa'ki Meiru Prototype"""																
191749	Hero Flash!!	"Banish ""H - Heated Heart"", ""E - Emergency Call"", ""R - Righteous Justice"" and ""O - Oversoul"" from your Graveyard; Special Summon 1 ""Elemental HERO"" Normal Monster from your Deck. All ""Elemental HERO"" Normal Monsters you currently control can attack your opponent directly this turn."																
213326	E - Emergency Call	"Add 1 ""Elemental HERO"" monster from your Deck to your hand."																
218704	Fenrir	This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing 2 WATER monsters in your Graveyard from play. When this card destroys an opponent's monster as a result of battle, your opponent skips his/her next Draw Phase.																
242146	Ballista of Rampart Smashing	If the equipped monster attacks a face-down Defense Position monster, it gains 1500 ATK during damage calculation only.																
255998	Rapid Warrior	During your Main Phase 1, you can activate this card's effect. If you do, it can attack your opponent directly this turn. Other monsters cannot attack during the turn you activate this effect.	Direct attack															
259314	Inzektor Gauntlet	"Target 1 face-up ""Inzektor"" monster you control; equip this card to that target. It gains 1000 DEF, and cannot be destroyed by your opponent's card effects."																
269012	Mound of the Bound Creator	Level 10 or higher monsters on the field cannot be targeted or destroyed by card effects. If a Level 10 or higher monster on the field destroys a monster by battle and sends it to the Graveyard: The player who controlled the destroyed monster takes 1000 damage. When this card on the field is destroyed by a card effect and sent to the Graveyard: You can add 1 DIVINE monster from your Deck to your hand.																
282886	Mermail Abyssnose	"When this card destroys an opponent's monster by battle and sends it to the Graveyard: You can discard 1 WATER monster to the Graveyard; Special Summon 1 ""Mermail"" monster from your Deck in face-up Defense Position. You can only use the effect of ""Mermail Abyssnose"" once per turn."	Special Summon															
286392	Jet Warrior	"""Jet Synchron"" + 1 or more non-Tuner monsters
If this card is Synchro Summoned: You can target 1 card your opponent controls; return it to the hand. If this card is in your Graveyard: You can Tribute 1 Level 2 or lower monster; Special Summon this card from your Graveyard in Defense Position, but banish it when it leaves the field. You can only use each effect of ""Jet Warrior"" once per turn."	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
293542	T.G. Warwolf	"When a Level 4 or lower monster is Special Summoned, you can Special Summon this card from your hand. During the End Phase of the turn this card on the field was destroyed and sent to the Graveyard, you can add 1 ""T.G."" monster from your Deck to your hand, except ""T.G. Warwolf""."	Special Summon	Search														
295517	A Legendary Ocean	"This card's name is treated as ""Umi"". Reduce the Level of all WATER monsters in both player's hands and on the field by 1. All WATER monsters gain 200 ATK and DEF."																
296499	The Regulation of Tribe	Declare 1 Type of monster. Monsters of the declared Type cannot attack. Tribute 1 monster from your side of the field during each of your Standby Phases. If you do not, this card is destroyed.	"Tribute 1 monster for the effect of ""The Regulation of Tribe""?"															
303660	Amplifier	"Equip only to ""Jinzo"". While this card is equipped, the equipped monster's effect does not negate the effects of its controller's Trap Cards. When this card is removed from the field, destroy the equipped monster. This card's activation and effect cannot be negated."																
313513	Spell Gear	"Send 3 face-up ""Ancient Gear"" cards you control to the Graveyard. You can Special Summon up to 1 ""Ancient Gear Golem"" from your hand and 1 from your Deck, ignoring the Summoning Conditions. Then, destroy all monsters you control except ""Ancient Gear Golems"". You cannot Normal Summon or Set until the end of your next turn."																
336369	Gusto Squirro	"When this card is destroyed by a card effect and sent to the Graveyard: You can Special Summon 1 Level 5 or higher ""Gusto"" monster from your Deck."	Special Summon															
340002	Performapal Elephammer	"If you control 2 or more ""Performapal"" cards, you can Normal Summon this card without Tributing. Cannot attack unless you control another ""Performapal"" card. When this card declares an attack: You can return all Spell and Trap Cards your opponent controls to the hand."	Normal Summon without Tribute	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
359563	Evilswarm Nightmare	"2 Level 4 DARK monsters
When your opponent Special Summons a monster(s) (except during the Damage Step): You can detach 1 Xyz Material from this card; change that Special Summoned monster(s) to face-down Defense Position."	Change to face-down Defense Position															
368382	Dinomist Brachion	"Pendulum Scale = 6
[ Pendulum Effect ]
Before resolving a card effect that targets another ""Dinomist"" card(s) you control, you can negate the effect, then destroy this card. This effect can only be used once while this card is in the Pendulum Zone.
----------------------------------------
[ Monster Effect ]
If you do not control a ""Dinomist Brachion"" in your Monster Zone and your opponent controls the monster on the field that has the highest ATK, you can Special Summon this card (from your hand)."	"Negate effect by destroying ""Dinomist Brachion""?"															
387282	Gagaga Sister	"When this card is Normal Summoned: You can add 1 ""Gagaga"" Spell/Trap Card from your Deck to your hand. You can target 1 other ""Gagaga"" monster you control; the Levels of that monster and this card become the combined current Levels of those 2 monsters, until the End Phase. You can only use this effect of ""Gagaga Sister"" once per turn."																
402568	Wattgiraffe	This card can attack your opponent directly. When this card inflicts Battle Damage to your opponent as a result of a direct attack, your opponent cannot activate the effects of any Spell, Trap, or Effect Monster Cards until the End Phase of this turn.	Prevent activation of effects															
